company,Opening Date,issue_price,issue_size_cr,sub_qib,sub_hni,sub_retail,Total (x),Listing Date,Open Price on Listing (Rs.),Close Price on Listing (Rs.),listing_gain_pct,year,positive_listing,gmp_pct,sector,market_mood,pe_vs_sector,promoter_holding,revenue_growth_pct,roce_pct,debt_equity,company_age
IPO_Synth_0053,,589.2618114300307,2934.267808853119,0.5,0.5,0.5,1.5,,,,-27.884570182553666,2017,0,-11.559908198151144,Auto,bear,1.2,36.59804252402459,19.961597104568764,10.49319173685283,0.0,4.623434369151011
IPO_Synth_0054,,1014.811944131102,71.9742,5.936124852815395,4.116981060585176,1.885462059842002,11.938567973242574,,,,4.062255790888547,2024,1,5.372208806468434,FMCG,neutral,1.2,59.495305923639954,32.0,19.261288951077372,2.0266921037492933,8.690136964881662
IPO_Synth_0055,,40.04,3109.8950373990797,0.5,0.5,0.5,1.5,,,,10.391280170757854,2026,1,2.110621081975476,Tech,bear,1.2,59.090905964090474,29.52301230772194,19.715159518441578,1.8471999942931958,7.788978767800955
IPO_Synth_0056,,389.78682068028036,1822.3407611982607,17.430614190850733,12.722602787925267,4.145322068343052,34.29853904711905,,,,-6.698906802824683,2024,0,-1.5362881952780976,Mfg,bull,1.2,61.86743956775822,20.9420459640161,10.24040909432071,1.2500540808677587,12.646875344700803
IPO_Synth_0057,,352.65950910346635,550.2162951729504,44.283451624821005,15.078144047527733,14.883196758831115,74.24479243117986,,,,11.579027413042322,2018,1,6.335936346457557,Finance,bear,1.2,43.93075681502737,17.798813293909436,13.188256446221061,2.5,7.905277199625977
IPO_Synth_0058,,981.9952469631202,5067.550954381536,31.07014749994702,11.585299055893772,8.271894879365727,50.927341435206515,,,,89.02356389664259,2023,1,44.645343992063445,Retail,bull,1.2,63.65071894610322,8.0,18.001377610363814,0.0,8.616560108566297
IPO_Synth_0059,,797.7216936736139,1127.8543831139996,2.7673863882927057,1.5550390735414403,0.5,4.822425461834146,,,,-5.879078637652337,2016,0,-6.448172257492623,Tech,neutral,1.2,65.34585024522757,17.01598291867244,9.88052047753793,1.27942722252007,8.511725605421729
IPO_Synth_0060,,114.76759203635031,143.65055509344023,109.94409029740336,35.23112379597531,28.633648706596436,173.8088627999751,,,,39.66822298618058,2018,1,33.24692963143231,Finance,bull,1.2,80.98283949823711,19.529485354565473,16.643298564440652,0.6351061307385728,12.37399508128634
IPO_Synth_0061,,531.68491994803,4447.615161478442,8.279013770418647,2.424183529053073,2.8182248369392644,13.521422136410983,,,,-1.2346386676003787,2019,0,-11.559908198151144,FMCG,neutral,1.2,63.33058899306445,18.09610123864314,13.530786062668886,0.7440855659828649,12.90653299501414
IPO_Synth_0062,,1201.3822190378871,467.3416057438923,66.52833401740538,19.083559873441196,7.044656281540249,92.65655017238683,,,,15.990981977415695,2021,1,5.042940629249099,FMCG,neutral,1.2,49.21094121918689,18.513905475734894,9.524592344538382,0.0,11.480720652236425
IPO_Synth_0063,,201.43073006452113,71.9742,17.265922125089823,9.549346725422003,4.431260095342342,31.24652894585417,,,,8.701770265461501,2019,1,15.813178288712521,FMCG,bull,1.2,35.752880294143615,23.734588099146873,22.998040139445095,0.894807503759483,13.319228299966197
IPO_Synth_0064,,411.0121116265327,71.9742,101.21702277213878,66.02781860506825,14.090294229091688,181.3351356062987,,,,18.12757572305079,2020,1,24.97820139291258,Finance,bull,1.2,32.45530361085788,13.99786565365647,13.463545599079648,0.8478233980067629,13.706245504995259
IPO_Synth_0065,,590.2288958049539,71.9742,33.15892887432857,12.581917855931872,10.084123601487727,55.82497033174817,,,,85.23344113421207,2016,1,27.683632261959353,Pharma,bull,1.2,65.81360635686248,21.63591029677393,17.359383211132307,0.0,4.56907407915957
IPO_Synth_0066,,206.4361063448792,71.9742,155.44715782682317,111.41938420107088,40.44286308176943,307.3094051096635,,,,64.3116046024373,2024,1,29.460945904564834,Pharma,neutral,1.2,74.27757966934244,19.33844681319755,9.954728070814829,0.43130656830703207,11.775734050738375
IPO_Synth_0067,,1017.1072457519501,3138.316854978806,7.844300457640253,5.067165147927109,2.621936822890345,15.533402428457705,,,,18.268029502886733,2020,1,4.743404589190303,Infra,bear,1.2,43.97603199816908,14.706178912958215,21.985528940874534,0.0,8.890603955804773
IPO_Synth_0068,,253.36530009945756,71.9742,9.165854871683685,2.646459134859937,2.4508988644876872,14.263212871031309,,,,20.879218901136984,2024,1,2.2842142751451653,Mfg,neutral,1.2,64.59474476522652,30.044628639246007,23.76323869198219,0.10460118136037733,6.22975478388562
IPO_Synth_0069,,40.04,71.9742,81.66022669535624,37.04528957837116,8.517547349209721,127.22306362293712,,,,56.06761507071861,2016,1,30.859685037505848,Infra,bull,1.2,56.864063750425956,24.486859311855024,8.240194305552844,1.4608176756315356,9.040796555198932
IPO_Synth_0070,,235.4956691399786,2311.058300879484,37.944216704816,10.776439584180473,8.6356658875019,57.356322176498374,,,,19.252682050141537,2025,1,8.150416388320634,Mfg,neutral,1.2,72.92881564011807,15.281601258891937,14.259478263053305,1.4808068223002597,12.192582148731855
IPO_Synth_0071,,637.8844831536953,71.9742,27.30804451987414,19.323092532645273,8.900156380092021,55.531293432611434,,,,-18.28524863388655,2022,0,-11.559908198151144,Pharma,bull,1.2,75.58938441180389,23.103506507361228,20.975500858531973,1.26870162330336,14.36574186067935
IPO_Synth_0072,,142.1771279606922,1479.4294292243212,16.396536965977145,10.188825651620698,2.5918948953984,29.177257512996245,,,,-7.602223314078838,2018,0,-11.559908198151144,Finance,neutral,1.2,24.0,11.663226613030385,12.892055156170093,1.4603873461116794,5.964700441968438
IPO_Synth_0073,,518.04910992514,4859.815289707832,4.692732392321302,2.7840693840833413,0.5665258995076063,8.04332767591225,,,,-4.86413600189389,2024,0,-7.608679769873356,Tech,bull,1.2,78.57842456693764,16.019124935401667,16.841845124105568,1.473465053478754,11.855247385639597
IPO_Synth_0074,,606.9813355274359,1707.9973952322014,118.68632283256458,70.18526659096152,33.228843295684094,222.1004327192102,,,,12.029472968638112,2024,1,23.050667164580535,Finance,bull,1.2,64.53954533619401,27.9654187652461,7.43844491191407,0.0,15.896886868728592
IPO_Synth_0075,,40.04,5451.215272940253,50.239754602132216,19.723688106565184,11.33545223233585,81.29889494103325,,,,7.98358480133084,2023,1,15.373239773468637,Pharma,bull,1.2,50.43559234846984,22.109089251607575,11.452639062436273,0.8395467797037416,15.492260950121063
IPO_Synth_0076,,222.26940541379193,1344.3893351806869,99.68547330675786,71.45151459497622,11.154686370498208,182.29167427223229,,,,76.12186039496343,2025,1,27.23473590010223,Infra,bull,1.2,50.93766892718804,21.627183897975364,16.37269680455297,1.5867797267684622,4.0
IPO_Synth_0077,,534.0255807751649,4142.812405788336,13.292842830198502,9.45637325009938,2.2595015806687866,25.00871766096667,,,,8.254417909558018,2026,1,3.0438549685053404,Auto,neutral,1.2,60.57145327515873,25.921808484362824,12.34742159190912,0.0,16.0
IPO_Synth_0078,,654.7561148609051,96.8541873401488,44.12682251605937,27.347351350949218,8.01727714708326,79.49145101409185,,,,5.718275176718009,2017,1,15.721989450718455,Infra,neutral,1.2,50.93252179381395,23.667668659458293,13.377591230273785,0.0,12.883123310832035
IPO_Synth_0079,,230.78110828523359,1802.0827983442102,102.6348244388805,49.7229908481708,27.39994382957268,179.757759116624,,,,43.06245508425639,2019,1,25.830233009190028,Auto,bull,1.2,43.133934575074385,18.403690684544436,8.179916150267767,0.0,4.0
IPO_Synth_0080,,466.6653539274056,71.9742,62.90102555044637,17.207070280758956,13.70613693817565,93.81423276938098,,,,17.512645003360245,2016,1,5.595662802927431,Tech,bull,1.2,47.25964224426562,25.618427866684133,17.94329855750603,0.0,7.703017084026804
IPO_Synth_0081,,317.8334910848182,71.9742,96.49831460579983,25.49057743766927,21.403092811928474,143.3919848553976,,,,18.745238005184333,2016,1,22.176615303892145,Mfg,bull,1.2,41.27708489424572,9.866266571969291,8.971897821577103,0.0,13.773292236284046
IPO_Synth_0082,,663.4453784686552,936.9792542914174,6.285274130699886,2.0054246073189073,1.8959587547671435,10.186657492785937,,,,-12.422780120899004,2017,0,-2.0351114159142334,Finance,neutral,1.2,84.23823203807788,15.99515197479976,21.933120130689893,0.0,11.080856553634638
IPO_Synth_0083,,592.2463957862016,71.9742,12.532736140858251,6.866464889261727,2.1256056222413697,21.52480665236135,,,,21.761502863284615,2023,1,4.433291062349449,Tech,neutral,1.2,61.0062866748681,19.418294222561922,11.927887236507875,2.0123055169353092,8.278132810620875
IPO_Synth_0084,,287.2455863770741,1936.5746317074565,7.691545106945467,4.992194964225407,2.062435405576663,14.746175476747537,,,,7.135826896918964,2022,1,4.028917616501901,Infra,bull,1.2,96.0,23.286374043583784,18.603164015657047,0.06252575007022265,10.199388231630454
IPO_Synth_0085,,578.2517179356352,733.706891036443,14.734070656931875,10.670898428009025,2.8273108906476576,28.23227997558856,,,,-25.299392217626732,2016,0,-11.559908198151144,Auto,bear,1.2,66.67937466645024,18.050004516279156,18.159919814918144,0.0,11.63775675569564
IPO_Synth_0086,,273.8843354799825,2132.3672215325555,72.892383224979,24.61437574910777,14.913235781402843,112.41999475548961,,,,44.23688293050471,2020,1,22.830165523291424,Finance,bull,1.2,70.600348573943,9.295636096241397,10.567147724113973,0.6661883964965564,8.262193122762662
IPO_Synth_0087,,571.0504410570046,71.9742,13.630363041285447,5.285363281945191,3.257324230889577,22.173050554120213,,,,5.282447745108208,2017,1,2.1316213097664996,Finance,bull,1.2,40.891105194762666,8.453130182408824,12.409092741903136,0.31103625758337206,9.618647782534028
IPO_Synth_0088,,575.8096164815447,3348.334033907618,3.43439694184391,0.9515001656672578,0.9407215089385108,5.326618616449679,,,,27.4907942790507,2018,1,12.561167281297449,Retail,bull,1.2,56.07223914715946,19.59144370460721,12.941526940587146,0.0,12.690751318933065
IPO_Synth_0089,,1224.7379428062457,5940.547473411446,112.97027766710421,84.10903595097392,37.99177053506876,235.07108415314687,,,,29.081881932010877,2016,1,22.695421857299912,Retail,bull,1.2,61.308443530515405,17.133346712055673,13.246560865939747,0.0,7.897542792204467
IPO_Synth_0090,,299.9596744265201,5391.11869064191,227.67886078366686,145.81864299769876,38.07992483570604,411.57742861707163,,,,16.16511867380083,2021,1,21.9549060369823,Retail,bull,1.2,48.52952449592163,14.540136800407126,9.160492721386849,1.5670889297913346,5.929035415571406
IPO_Synth_0091,,366.5667748715129,6477.514183462596,120.7067762058353,59.189420457020645,15.201365373023837,195.09756203587978,,,,56.774928841700124,2016,1,26.69149854016012,Finance,bull,1.2,51.63358152216932,13.53637227269953,17.4024115769356,0.0,8.088063320633028
IPO_Synth_0092,,193.736953253384,1632.2162213572558,52.491149894762586,28.22883114339712,10.876060261144032,91.59604129930374,,,,28.063874325420407,2024,1,10.159267760324086,FMCG,bull,1.2,67.5626609828253,20.8026562877145,11.900635096801745,0.0,7.333262912552724
IPO_Synth_0093,,62.024163048380316,604.684993879622,5.686113740904977,3.0198222577593743,1.3457837124029373,10.051719711067289,,,,19.451975198178406,2026,1,3.1294374842613637,Auto,bear,1.2,67.91567636866006,27.813567647416704,14.486216763887432,0.9668356044158417,8.185398541978685
IPO_Synth_0094,,258.90165693041723,2790.918917152028,21.193694136006695,7.993845535161789,3.3274290750792885,32.514968746247774,,,,24.049487219691905,2025,1,10.565442446142454,Infra,bull,1.2,35.93498504005999,20.803162969223457,19.528590725202584,0.0,4.817624044908143
IPO_Synth_0095,,642.0110478165235,901.7008059742839,0.5,0.5,0.5,1.5,,,,-21.62773595422353,2025,0,-11.559908198151144,Finance,bear,1.2,65.10733622597846,27.893615508693973,17.57308693842347,2.05220908623315,10.706862970268618
IPO_Synth_0096,,666.7284828789449,71.9742,13.908510112585311,5.542372407061924,4.168543960950886,23.619426480598122,,,,-5.39506530719263,2024,0,-11.559908198151144,Retail,bear,1.2,69.95427328402121,17.756049969842337,12.204123659411774,0.3456967954685926,12.60280389074074
IPO_Synth_0097,,515.8221261239175,3654.3537041945015,2.598475398444185,0.9707300590027689,0.5805409233892236,4.149746380836177,,,,-11.582424766162726,2026,0,-11.559908198151144,Mfg,neutral,1.2,49.375016877447756,22.66065383532605,19.68419504351799,0.39962743029382547,7.564817225477894
IPO_Synth_0098,,313.792998617773,911.638520592531,30.66667735486524,16.215436362788644,6.517159091352542,53.39927280900642,,,,-9.439532436846074,2025,0,-9.292364579989776,Finance,bull,1.2,47.54555158725226,28.1122354890322,17.994928978756896,1.2865518707441754,8.044092326011262
IPO_Synth_0099,,246.29219004115248,71.9742,79.28278066014362,32.03828289215701,8.73579809579696,120.05686164809758,,,,16.36721706713655,2018,1,20.942958878534345,Auto,bull,1.2,67.94644452115742,19.052752556047288,11.823698618397843,0.0,9.437840493047037
IPO_Synth_0100,,101.64579028287375,198.74595247715249,23.842200774885317,14.650374231475274,5.584378278195158,44.07695328455575,,,,-1.7647065198444898,2022,0,-7.306261172172265,Mfg,bear,1.2,24.0,20.15583382514591,12.6867848269652,0.8375860123209312,7.266084101488524
IPO_Synth_0101,,224.5971817783341,970.8337352400805,12.986939068699737,6.934634119828897,3.2329267140261915,23.154499902554825,,,,22.482478657288176,2019,1,4.106297667287861,FMCG,bear,1.2,60.037520469127664,17.753097573721817,19.502268557986834,0.13438180160410418,12.951347719164675
IPO_Synth_0102,,40.04,1552.5704068952443,126.22377250826064,65.14811334707161,40.758659036623364,232.13054489195562,,,,46.70000226427198,2025,1,40.409583730374166,Tech,bull,1.2,89.41970228302142,23.55503743523541,18.504042701169418,1.5268066591088167,7.33401636948332
IPO_Synth_0103,,878.6472217455795,1583.8380970264832,8.857150309148693,6.427163518920046,1.995290252899936,17.279604080968674,,,,27.74873706112769,2016,1,4.5802423781226,Auto,bear,1.2,24.0,25.413632606749164,8.238456368411233,0.0,8.42230160311338
IPO_Synth_0104,,1042.3669705648565,5085.239185514168,39.68791751643862,16.3198609024534,5.530287294193685,61.5380657130857,,,,34.737491617407855,2020,1,28.25259725608177,Mfg,bull,1.2,74.81174760009885,22.107680776444166,10.474833172810628,0.6768221168004154,7.710196185071678
IPO_Synth_0105,,40.04,71.9742,5.197982459867336,2.950556418168567,0.7537813995709919,8.902320277606895,,,,-8.187429601631763,2020,0,-7.915257303856419,Pharma,neutral,1.2,69.79960405982919,18.623348170312678,18.129206221570524,0.1410357844498658,13.022431354288148
IPO_Synth_0106,,513.6304408930699,1125.7499021491863,7.242940318789653,1.810918423966505,1.0137715747000098,10.06763031745617,,,,5.212336262248485,2025,1,7.844534906059549,Finance,neutral,1.2,34.11418507424999,11.001658616047314,9.715314520131578,0.9128995136827867,9.306763269712427
IPO_Synth_0107,,507.9697892498248,71.9742,13.52765727478928,8.36633958772462,4.526810256644216,26.42080711915812,,,,-11.929591052257924,2019,0,-8.270292455060611,Pharma,bear,1.2,69.36879943721694,19.709421246793504,18.622220269721332,0.24885382070791334,15.979327860231422
IPO_Synth_0108,,486.14820611325433,4791.494195096241,11.77070800475305,5.900325925197081,3.511759121099611,21.182793051049742,,,,-6.851608621557227,2025,0,4.9531656687600325,Retail,neutral,1.2,78.02555812975675,18.84827732554747,23.711041769154114,0.7623103872021219,11.06129402315528
IPO_Synth_0109,,212.34903482820445,71.9742,168.28942746194923,59.60684944202954,51.5287975432978,279.4250744472766,,,,54.041318066567264,2021,1,30.477307157863823,FMCG,neutral,1.2,38.82089041449133,21.415976563316537,16.679803203460818,2.2532386824888366,13.475293846778062
IPO_Synth_0110,,764.0983481377275,626.8047682049562,0.5,0.5,0.5,1.5,,,,-7.546789202054739,2023,0,-11.559908198151144,Tech,neutral,1.2,47.269961903398915,20.7007533989531,10.84655242779762,0.21401327525228786,9.027183310757506
IPO_Synth_0111,,555.035308804921,4254.058900132842,98.93059204473916,59.70184046185784,12.258357157326,170.89078966392302,,,,15.900293364708856,2021,1,21.692866206009352,FMCG,bull,1.2,60.46992799153822,29.434448904069807,15.794275787073357,0.9027494230704737,7.1721384464534115
IPO_Synth_0112,,768.0634063049292,4970.072571971614,19.576330097030734,11.380706388377954,5.394144490479702,36.35118097588839,,,,19.598991644249335,2020,1,17.436003699817686,Retail,bull,1.2,77.59806263697787,15.82154066791855,19.655758597773797,2.5,9.900517409251119
IPO_Synth_0113,,162.89845655739472,5354.9130203975465,0.5,0.5,0.5,1.5,,,,-16.144077171131393,2019,0,-0.5682553266421444,Finance,bull,1.2,50.25986876319084,10.548421685562463,15.445096911760805,0.8898545207888775,7.9628692780999675
IPO_Synth_0114,,40.04,71.9742,8.35388252793075,3.9156937337952162,1.3049217872386252,13.57449804896459,,,,-8.319897087602959,2019,0,-11.559908198151144,FMCG,neutral,1.2,59.24236680529352,13.14478758872998,17.177264196238003,0.0,4.004412171093773
IPO_Synth_0115,,563.3796449358202,2778.764680345109,22.09745278365282,12.587784431371684,4.92036120096933,39.60559841599383,,,,29.425558478834823,2023,1,13.851838792646596,Finance,bear,1.2,48.03191200013462,16.19826208116486,11.402641482664919,0.0,13.040559435983043
IPO_Synth_0116,,85.89417010991528,2224.867722411064,0.5,0.5,0.5,1.5,,,,9.100364549477929,2019,1,0.8311028003051718,Tech,neutral,1.2,60.442037313781356,26.492043029501946,11.743484372340916,0.0,10.098229026883475
IPO_Synth_0117,,775.0583499913147,1388.4328668693036,33.411017638709446,12.34361768433105,10.83633264425709,56.59096796729759,,,,27.761179949120976,2025,1,17.326504761174984,Infra,bull,1.2,78.84020786059807,12.216544518665046,19.077256348475792,1.421963111767542,7.899092666831675
IPO_Synth_0118,,40.04,1695.0435426244887,35.277568562599484,17.969829716143842,4.501642739483092,57.74904101822642,,,,20.131078450812232,2017,1,12.763700354243817,Retail,neutral,1.2,61.906143072649385,13.017186827854838,11.795719948282983,0.40618064348009936,11.12881490983407
IPO_Synth_0119,,254.77550480941605,4868.555846275019,60.07246326198334,30.47454419030829,19.406306442862487,109.95331389515411,,,,73.2033764490713,2018,1,46.9575989014949,Auto,bear,1.2,53.565734497372425,22.4834372685688,6.0,1.5635179925415021,10.140797878189767
IPO_Synth_0120,,204.43192060807908,4225.15035508744,26.829048683142393,17.755771453267364,8.869783879515557,53.45460401592532,,,,7.749337254631861,2016,1,7.110455915314922,Tech,bear,1.2,59.410379458166396,25.09583655314561,13.621503415768817,1.1115567945368876,14.229372100444015
IPO_Synth_0121,,301.286940355709,3856.3770765388285,15.28836201051679,7.135759055716863,5.058956578867592,27.483077645101247,,,,-10.198085777173235,2025,0,-9.860500146333255,Finance,bear,1.2,45.58873994145727,10.704567563931285,16.413882175621684,1.1072404810979095,11.298450280328035
IPO_Synth_0122,,504.00982474718774,2060.3551453934415,76.64953168924703,35.87525513630493,7.757601222832191,120.28238804838415,,,,32.38584814046206,2020,1,16.170771499118242,FMCG,bull,1.2,42.100942725674656,9.36767163233191,19.76329770531588,0.0,9.529242155787779
IPO_Synth_0123,,550.1705920440787,7431.9690825369,6.810015817145814,5.054408964211734,1.057252866222114,12.921677647579664,,,,46.78935437443905,2016,1,17.05208540970027,Pharma,neutral,1.2,81.66152452801568,15.280780402992892,22.40599023937339,1.004894620386235,12.080284326900797
IPO_Synth_0124,,633.3473750973462,478.97632063128884,19.324339512115284,13.473546658252593,5.271898357983162,38.069784528351036,,,,69.19050994639818,2016,1,41.707265066356854,Pharma,neutral,1.2,89.47877296189307,23.944172796822077,15.381149737556816,1.8665899398934265,9.892107521916438
IPO_Synth_0125,,672.7147171924294,71.9742,121.404591408258,45.058463664667364,21.905630803491864,188.36868587641723,,,,18.984880146187024,2026,1,30.36483233417416,Infra,neutral,1.2,27.752795154387655,20.85936027744932,17.96377726095774,0.0,10.551498339089393
IPO_Synth_0126,,356.2313740762975,831.3584780116244,64.6404178434576,45.580967460562775,7.4511541560555345,117.67253946007591,,,,33.44794757736351,2025,1,20.014418005813,Retail,neutral,1.2,70.47833090157724,15.500156794325395,15.54281857676337,0.18285659156479855,13.678500358563197
IPO_Synth_0127,,1135.1255803665535,1672.0586820876692,90.41836266282262,28.84195025014196,26.287829698740357,145.54814261170495,,,,85.12300235279821,2019,1,43.96060279943524,FMCG,bull,1.2,75.4608024868323,24.436582149221387,16.593315664847026,0.8544188487742621,6.49428375134239
IPO_Synth_0128,,888.6324657836618,4913.873340474299,7.5821429113708785,5.130802211169112,0.8124118134920154,13.525356936032006,,,,-8.996391979221626,2023,0,-11.559908198151144,Retail,neutral,1.2,38.189667624918116,20.74583194239333,14.159132222478942,0.5980159282459462,7.410179159641328
IPO_Synth_0129,,308.2513374918869,191.72896752474514,15.521426892979617,5.303076918089467,3.2828645478500764,24.10736835891916,,,,-12.45057770575973,2018,0,-1.5551970968799027,Tech,neutral,1.2,51.50840740004572,19.354426790264597,16.73898664049186,1.936587109773423,8.741929883776134
IPO_Synth_0130,,368.0679744350612,2800.410604900686,14.46190486779701,6.692993788541233,4.872129306655918,26.02702796299416,,,,-8.2941549058368,2025,0,-7.762854987689576,Infra,neutral,1.2,49.61316734900025,10.313906433821941,11.715347275121651,1.2285074025227498,9.180913453476373
IPO_Synth_0131,,301.05768474056214,71.9742,19.689516062281314,14.60884939701233,4.135944432687919,38.43430989198156,,,,9.321602909744858,2023,1,3.8542196163912847,FMCG,bull,1.2,94.21704168747569,15.376888780581874,23.91038476466631,0.9060918892726456,13.469617323822485
IPO_Synth_0132,,538.9197383886865,4336.630571772574,20.82367566363289,6.216376705040289,6.829578834617959,33.86963120329114,,,,-27.339890481400666,2020,0,-11.559908198151144,Retail,bear,1.2,89.74410389488744,31.74156536208185,6.0,1.3176015459243355,5.755901852562772
IPO_Synth_0133,,82.82191166897636,1699.6020696783428,112.73105117837447,75.51784465048799,22.7999747628423,211.04887059170477,,,,15.985216073581821,2026,1,26.037149295010135,FMCG,bull,1.2,43.418817366550925,17.982241246665136,17.568989855294753,1.2642895421482332,9.911500346965665
IPO_Synth_0134,,145.12729014125438,791.5022051206223,53.301558098320896,26.510434701560378,9.949883256376818,89.76187605625809,,,,3.775774283868957,2018,1,7.481258982351139,Mfg,bear,1.2,33.7335340012073,14.259238307879148,16.437967578390623,0.5410691074390701,8.347665678845434
IPO_Synth_0135,,40.04,7070.321716006465,0.5,0.5,0.5,1.5,,,,-5.009357879104451,2026,0,-11.559908198151144,Retail,bear,1.2,73.9135853117869,17.70649178181444,16.67076798730909,0.1451798045113119,15.101447300689523
IPO_Synth_0136,,278.64544155826974,4306.668658370977,12.05544328311672,8.755213720008173,2.284780489305949,23.095437492430843,,,,-2.004318091519563,2019,0,-9.68912425357305,Auto,bear,1.2,69.79105536235222,20.71450747847111,9.677321644681466,1.490309653179353,12.65154251103899
IPO_Synth_0137,,778.5287177534534,71.9742,17.076078765399366,8.958378742736581,3.1462098381618953,29.18066734629784,,,,39.45217994910037,2025,1,19.076050387136025,Infra,neutral,1.2,82.39188302146738,25.300063352020462,7.44834470373017,0.0,10.716076831632124
IPO_Synth_0138,,362.8665352127016,1237.0315731664448,124.84593312264808,86.18370834477504,38.906711499610076,249.9363529670332,,,,68.89600481350915,2025,1,30.430092077474868,Pharma,neutral,1.2,40.93665770676186,23.726510240532917,17.72598782726228,0.42772138887056965,12.906528093808802
IPO_Synth_0139,,381.9745308973471,8644.230311355204,82.82297766689915,56.696756839882624,27.329826249072976,166.84956075585475,,,,61.20386691556546,2022,1,55.50543105107901,FMCG,bull,1.2,73.02373836868122,15.940423950682915,21.03450443321667,0.0,6.041680234625307
IPO_Synth_0140,,509.837303280078,6672.500638454068,10.0,2.5731729147034894,1.0548252143833248,13.627998129086814,,,,66.6510550936662,2017,1,75.25866115220047,Infra,bull,1.2,46.82833401650971,27.629461002401577,15.991031230636265,1.231675651010697,16.0
IPO_Synth_0141,,72.47199725326483,3924.1832564175256,123.736103062512,47.31920406141323,15.413076641750244,186.46838376567547,,,,17.6562117362395,2024,1,21.259704429812228,Tech,bull,1.2,71.21694294612051,24.888130164500666,18.623713919725496,1.732522886257083,7.474438447671021
IPO_Synth_0142,,423.4594974018191,71.9742,0.5,0.5,0.5,1.5,,,,-14.560221271796005,2023,0,-9.125527247014011,Finance,bull,1.2,59.33185199388773,17.329198539341444,12.938349341276695,0.0,13.77084981505475
IPO_Synth_0143,,718.9460107458544,4989.270380342608,7.010369652248855,3.6273897495338217,1.5505936731781516,12.18835307496083,,,,-32.536530897740356,2025,0,-11.559908198151144,Retail,neutral,1.2,94.21112405343976,19.230810470165228,16.492081766572444,0.3460706273155391,11.654953156288776
IPO_Synth_0144,,519.5397144953383,71.9742,18.82456678068663,5.382564945929111,3.2796096008694513,27.486741327485195,,,,42.23371002542597,2018,1,18.084762586157346,Infra,neutral,1.2,68.05308651900103,23.60401449897314,20.515469586568962,0.019934236977524333,10.792974449196649
IPO_Synth_0145,,748.9492811934081,4966.800974774064,6.796820773991322,3.021074340978934,1.1213175030958675,10.939212618066122,,,,-9.88106529480988,2018,0,-5.303488811917645,Mfg,bear,1.2,54.348102358755305,26.448220949883215,13.589036405345565,1.5753263094295618,13.645673822984286
IPO_Synth_0146,,846.6316112553262,71.9742,0.6667223489437415,0.5,0.5,1.6667223489437415,,,,0.1,2019,1,3.3013033777493774,Finance,bear,1.2,62.48280133249784,10.887992989401479,20.33573145833851,1.9169714868302488,12.989746078555982
IPO_Synth_0147,,641.1533485261969,2794.162189471158,0.5,0.5,0.5,1.5,,,,-9.566769989199035,2020,0,-0.9566736775755876,Mfg,bear,1.2,58.19066777595453,20.422699468591404,7.644424787690093,0.02090650600656091,10.322146507305307
IPO_Synth_0148,,171.14603072851438,71.9742,19.911883292630048,11.959838481973499,2.078202943086734,33.94992471769028,,,,15.945727590284793,2016,1,9.243664157400609,Retail,bear,1.2,39.22014592796388,19.813252169088532,12.241486412654293,0.0,8.735204090928566
IPO_Synth_0149,,297.2703278099395,576.1764758107779,202.27847126695949,97.12698242177991,57.5929476554913,356.9984013442307,,,,56.35508372557599,2017,1,35.361463138390185,Pharma,bull,1.2,94.6480587778316,16.57619624222565,17.456622562288036,1.6528011018445394,10.369086874517194
IPO_Synth_0150,,1074.59127667805,3141.3079223404197,62.69104419846868,17.889049916515926,10.977013889688813,91.55710800467341,,,,14.317517720186103,2021,1,15.689717492345649,FMCG,bear,1.2,88.77695500687068,16.545192883504665,23.5626480472078,0.5450949098696511,9.691580067647976
IPO_Synth_0151,,522.1375930391958,71.9742,11.909297029958278,4.033524473982837,2.4617453366189683,18.404566840560083,,,,11.47288838856577,2026,1,8.857472684356578,Mfg,neutral,1.2,56.8265376472728,26.326258459461176,15.064232617939641,0.5489534783953798,11.061973665774232
IPO_Synth_0152,,476.6342897853389,7697.018708539299,0.5,0.5,0.5,1.5,,,,-26.168763429054344,2017,0,-10.123594577282917,Auto,bear,1.2,72.59785317506682,23.208068681392632,10.347371034068244,1.4637137927095312,13.061768722323805
IPO_Synth_0153,,121.0721751727315,71.9742,0.5,0.5,0.5,1.5,,,,-30.402473691864476,2018,0,-11.559908198151144,Mfg,neutral,1.2,96.0,32.0,23.46035482378091,0.13598222606427168,11.40570546932015
IPO_Synth_0154,,383.5802526601335,71.9742,5.089210110446792,1.4945086344532703,1.6332581230190044,8.216976867919065,,,,3.3977581287609673,2025,1,1.7657389621306154,Tech,bull,1.2,82.26413374892516,16.581243142550004,14.432362441697832,0.0,10.554609123582223
IPO_Synth_0155,,659.5251399674237,3148.9530826220944,36.75407971976089,24.313683426834494,9.942835441259398,71.01059858785479,,,,30.1084054739782,2016,1,11.126760451655496,Finance,bear,1.2,54.466954660550144,20.822806845329012,17.991504932355625,0.14429158694523914,8.03809926167292
IPO_Synth_0156,,419.89316998404513,4884.608654766556,12.324122887734655,8.051713851023443,3.913822055876596,24.289658794634693,,,,86.3784533696013,2017,1,50.55355752030891,Tech,bull,1.2,58.416770045427754,21.85820150825586,13.4950884480641,0.9890864056039612,10.973970191018267
